INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS
Alabama A & M University,Normal,AL,35762,Southern Association of Colleges and Schools Commission on Colleges,34.783368,-86.568502,4505
University of Alabama at Birmingham,Birmingham,AL,35294-0110,Southern Association of Colleges and Schools Commission on Colleges,33.50223,-86.80917,11269
Amridge University,Montgomery,AL,36117-3553,Southern Association of Colleges and Schools Commission on Colleges,32.362609,-86.17401,308
University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,34.722818,-86.63842,5829
Alabama State University,Montgomery,AL,36104-0271,Southern Association of Colleges and Schools Commission on Colleges,32.364317,-86.295677,4740
The University of Alabama,Tuscaloosa,AL,35487-0166,Southern Association of Colleges and Schools Commission on Colleges,33.2144,-87.545766,31005
Central Alabama Community College,Alexander City,AL,35010,Southern Association of Colleges and Schools Commission on Colleges,32.924429,-85.94653,1546
Athens State University,Athens,AL,35611,Southern Association of Colleges and Schools Commission on Colleges,34.805625,-86.96514,2904
Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,32.369939,-86.177351,4142
Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,32.604685,-85.482782,21551
Birmingham Southern College,Birmingham,AL,35254,Southern Association of Colleges and Schools Commission on Colleges,33.515453,-86.853636,1346
Chattahoochee Valley Community College,Phenix City,AL,36869,Southern Association of Colleges and Schools Commission on Colleges,32.42391,-85.031485,1566
Concordia College Alabama,Selma,AL,36701,Southern Association of Colleges and Schools Commission on Colleges,32.42443,-87.023531,379
South University-Montgomery,Montgomery,AL,36116,Southern Association of Colleges and Schools Commission on Colleges,32.342684,-86.216488,460
Enterprise State Community College,Enterprise,AL,36330-1300,Southern Association of Colleges and Schools Commission on Colleges,31.297496,-85.836956,1528
James H Faulkner State Community College,Bay Minette,AL,36507-2698,Southern Association of Colleges and Schools Commission on Colleges,30.852045,-87.779758,4372
Faulkner University,Montgomery,AL,36109-3390,Southern Association of Colleges and Schools Commission on Colleges,32.384181,-86.21641,2282
Gadsden State Community College,Gadsden,AL,35903,Southern Association of Colleges and Schools Commission on Colleges,33.991866,-85.991299,4613
New Beginning College of Cosmetology,Albertville,AL,35951,National Accrediting Commission of Career Arts and Sciences,34.27871,-86.196931,91
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,Southern Association of Colleges and Schools Commission on Colleges,31.316086,-85.46355,4173
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,Southern Association of Colleges and Schools Commission on Colleges,34.07341,-86.781745,4821
George C Wallace State Community College-Selma,Selma,AL,36703-2808,Southern Association of Colleges and Schools Commission on Colleges,32.445611,-87.01324,1383
Herzing University-Birmingham,Birmingham,AL,35209,North Central Association of Colleges and Schools The Higher Learning Commission,33.468105,-86.832299,360
Huntingdon College,Montgomery,AL,36106-2148,Southern Association of Colleges and Schools Commission on Colleges,32.350939,-86.285313,1160
Heritage Christian University,Florence,AL,35630-9977,Association for Bibical Higher Educaiton,34.859089,-87.662062,58
J F Drake State Community and Technical College,Huntsville,AL,35811,Southern Association of Colleges and Schools Commission on Colleges,34.772116,-86.573817,820
Jacksonville State University,Jacksonville,AL,36265,Southern Association of Colleges and Schools Commission on Colleges,33.822128,-85.766644,6625
Jefferson Davis Community College,Brewton,AL,36426,Southern Association of Colleges and Schools Commission on Colleges,31.101995,-87.085829,1036
Jefferson State Community College,Birmingham,AL,35215-3098,Southern Association of Colleges and Schools Commission on Colleges,33.652439,-86.707387,7381
John C Calhoun State Community College,Tanner,AL,35671,Southern Association of Colleges and Schools Commission on Colleges,34.65428,-86.949131,8547
Judson College,Marion,AL,36756,Southern Association of Colleges and Schools Commission on Colleges,32.630526,-87.316127,373
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,Southern Association of Colleges and Schools Commission on Colleges,33.451673,-86.890234,3003
University of West Alabama,Livingston,AL,35470,Southern Association of Colleges and Schools Commission on Colleges,32.59244,-88.186077,1913
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,Southern Association of Colleges and Schools Commission on Colleges,31.322947,-86.452262,1412
Marion Military Institute,Marion,AL,36756-3207,Southern Association of Colleges and Schools Commission on Colleges,32.622359,-87.317998,450
Miles College,Fairfield,AL,35064-2621,Southern Association of Colleges and Schools Commission on Colleges,33.481306,-86.908605,1869
University of Mobile,Mobile,AL,36613-2842,Southern Association of Colleges and Schools Commission on Colleges,30.793247,-88.128934,1437
University of Montevallo,Montevallo,AL,35115-6000,Southern Association of Colleges and Schools Commission on Colleges,33.10625,-86.865099,2553
Northwest-Shoals Community College,Muscle Shoals,AL,35661,Southern Association of Colleges and Schools Commission on Colleges,34.739567,-87.67733,3047
University of North Alabama,Florence,AL,35632-0001,Southern Association of Colleges and Schools Commission on Colleges,34.80658,-87.680999,5698
Northeast Alabama Community College,Rainsville,AL,35986,Southern Association of Colleges and Schools Commission on Colleges,34.545471,-85.911664,2050
Oakwood University,Huntsville,AL,35896,Southern Association of Colleges and Schools Commission on Colleges,34.756628,-86.661628,1687
Alabama Southern Community College,Monroeville,AL,36460,Southern Association of Colleges and Schools Commission on Colleges,31.488925,-87.326352,1151
Prince Institute-Southeast,Elmhurst,IL,60126,NULL,41.928952,-87.962922,25
Reid State Technical College,Evergreen,AL,36401,Council on Occupational Education,31.46071,-86.964486,422
Bishop State Community College,Mobile,AL,36603-5898,Southern Association of Colleges and Schools Commission on Colleges,30.693972,-88.056982,2701
Samford University,Birmingham,AL,35229-2240,Southern Association of Colleges and Schools Commission on Colleges,33.464578,-86.790932,3145
Selma University,Selma,AL,36701,Association for Bibical Higher Educaiton,32.420358,-87.033826,312
Shelton State Community College,Tuscaloosa,AL,35405-8522,Southern Association of Colleges and Schools Commission on Colleges,33.120531,-87.56148,4478
Snead State Community College,Boaz,AL,35957-0734,Southern Association of Colleges and Schools Commission on Colleges,34.201247,-86.169479,2178
University of South Alabama,Mobile,AL,36688-0002,Southern Association of Colleges and Schools Commission on Colleges,30.695081,-88.18189,11379
Spring Hill College,Mobile,AL,36608-1791,Southern Association of Colleges and Schools Commission on Colleges,30.694751,-88.138199,1347
Southeastern Bible College,Birmingham,AL,35244-2083,Association for Bibical Higher Educaiton,33.378935,-86.749045,151
Stillman College,Tuscaloosa,AL,35401,Southern Association of Colleges and Schools Commission on Colleges,33.199228,-87.585242,843
Talladega College,Talladega,AL,35160,Southern Association of Colleges and Schools Commission on Colleges,33.434258,-86.113675,919
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,Southern Association of Colleges and Schools Commission on Colleges,32.350109,-86.343057,1282
Troy University,Troy,AL,36082-0001,Southern Association of Colleges and Schools Commission on Colleges,31.800128,-85.950191,14065
Tuskegee University,Tuskegee,AL,36088-1920,Southern Association of Colleges and Schools Commission on Colleges,32.431021,-85.710315,2486
United States Sports Academy,Daphne,AL,36526-7055,Southern Association of Colleges and Schools Commission on Colleges,30.639329,-87.91163,104
Bevill State Community College,Jasper,AL,35501,Southern Association of Colleges and Schools Commission on Colleges,33.835785,-87.265034,3075
University of Alaska Anchorage,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,61.189554,-149.826135,12348
Alaska Bible College,Palmer,AK,99645,Association for Bibical Higher Educaiton,61.59843,-149.111341,28
University of Alaska Fairbanks,Fairbanks,AK,99775-7500,Northwest Commission on Colleges and Universities,64.856483,-147.822943,5432
University of Alaska Southeast,Juneau,AK,99801-8697,Northwest Commission on Colleges and Universities,58.38427,-134.636346,1372
Alaska Pacific University,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,61.191235,-149.804242,254
AVTEC-Alaska's Institute of Technology,Seward,AK,99664-0889,Council on Occupational Education,60.110727,-149.444573,970
Charter College,Vancouver,WA,98683-7575,Accrediting Council for Independent Colleges and Schools,61.195786,-149.840178,1910
Alaska Career College,Anchorage,AK,99507-1033,Accrediting Commission of Career Schools and Colleges,61.181443,-149.856954,378
Empire Beauty School-Tucson,Tucson,AZ,85716,National Accrediting Commission of Career Arts and Sciences,32.235657,-110.927187,115
Thunderbird School of Global Management,Glendale,AZ,85306-6000,North Central Association of Colleges and Schools The Higher Learning Commission,33.620887,-112.180861,NULL
American Indian College Inc,Phoenix,AZ,85021,NULL,33.577738,-112.092247,96
American Institute of Trucking,Phoenix,AZ,85043-4729,Accrediting Commission of Career Schools and Colleges,33.442262,-112.175304,324
Carrington College-Phoenix North,Phoenix,AZ,85051-4063,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,33.560821,-112.115546,676
Carrington College-Mesa,Mesa,AZ,85210,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,33.39207,-111.855281,633
Carrington College-Tucson,Tucson,AZ,85745,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,32.224,-110.982961,357
CollegeAmerica-Flagstaff,Flagstaff,AZ,86001,Accrediting Commission of Career Schools and Colleges,35.194607,-111.65739,137
Arizona Academy of Beauty-East,Tucson,AZ,85712,National Accrediting Commission of Career Arts and Sciences,32.237253,-110.872305,33
Arizona Automotive Institute,Glendale,AZ,85301-3579,Accrediting Commission of Career Schools and Colleges,33.537249,-112.157344,655
Brookline College-Phoenix,Phoenix,AZ,85021,Accrediting Council for Independent Colleges and Schools,33.525384,-112.15007,1240
Arizona State University-Tempe,Tempe,AZ,85287,North Central Association of Colleges and Schools The Higher Learning Commission,33.422247,-111.934629,41222
Arizona Western College,Yuma,AZ,85365-8834,North Central Association of Colleges and Schools The Higher Learning Commission,32.689306,-114.495968,6608
University of Arizona,Tucson,AZ,85721-0066,North Central Association of Colleges and Schools The Higher Learning Commission,32.232071,-110.950769,32964
Southwest University of Visual Arts-Tucson,Tucson,AZ,85716,North Central Association of Colleges and Schools The Higher Learning Commission,32.252384,-110.927321,131
Central Arizona College,Coolidge,AZ,85128-9030,North Central Association of Colleges and Schools The Higher Learning Commission,32.957092,-111.652501,5134
Brown Mackie College-Tucson,Tucson,AZ,85712,Accrediting Council for Independent Colleges and Schools,32.236736,-110.895086,450
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,National Accrediting Commission of Career Arts and Sciences,34.475275,-114.328134,63
Cochise County Community College District,Douglas,AZ,85607-6190,North Central Association of Colleges and Schools The Higher Learning Commission,31.365757,-109.690422,3949
Empire Beauty School-Flagstaff,Flagstaff,AZ,86004,National Accrediting Commission of Career Arts and Sciences,35.197151,-111.625936,44
Empire Beauty School-Chandler,Chandler,AZ,85224,National Accrediting Commission of Career Arts and Sciences,33.347586,-111.860423,66
Cortiva Institute-Tucson,Tucson,AZ,85710,Accrediting Commission of Career Schools and Colleges,32.21901,-110.856785,133
Avalon School of Cosmetology-Mesa,Mesa,AZ,85210,National Accrediting Commission of Career Arts and Sciences,33.376583,-111.858305,333
Eastern Arizona College,Thatcher,AZ,85552-0769,North Central Association of Colleges and Schools The Higher Learning Commission,32.840719,-109.761664,4526
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,Southern Association of Colleges and Schools Commission on Colleges,34.615678,-112.452285,2193
Frank Lloyd Wright School of Architecture,Scottsdale,AZ,85259,North Central Association of Colleges and Schools The Higher Learning Commission,33.60715,-111.846477,NULL
Glendale Community College,Glendale,AZ,85302,North Central Association of Colleges and Schools The Higher Learning Commission,33.567483,-112.188334,15616
Grand Canyon University,Phoenix,AZ,85017,North Central Association of Colleges and Schools The Higher Learning Commission,33.512172,-112.129917,42444
International Academy of Hair Design,Tempe,AZ,85282-6730,National Accrediting Commission of Career Arts and Sciences,33.38145,-111.940071,136
GateWay Community College,Phoenix,AZ,85034,North Central Association of Colleges and Schools The Higher Learning Commission,33.4495,-111.996527,5019
Mesa Community College,Mesa,AZ,85202,North Central Association of Colleges and Schools The Higher Learning Commission,33.391256,-111.871494,17717
ITT Technical Institute-Tucson,Tucson,AZ,85704-5829,NULL,32.297261,-110.997501,342
ITT Technical Institute-Tempe,Tempe,AZ,85282,NULL,33.380355,-111.969169,379
Mohave Community College,Kingman,AZ,86409-1238,North Central Association of Colleges and Schools The Higher Learning Commission,35.270737,-114.030244,3199
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,85027,Accrediting Commission of Career Schools and Colleges,33.684428,-112.121336,1349
Dine College,Tsaile,AZ,86556,North Central Association of Colleges and Schools The Higher Learning Commission,36.293328,-109.21684,1369
Northern Arizona University,Flagstaff,AZ,86011-4092,North Central Association of Colleges and Schools The Higher Learning Commission,35.180095,-111.657653,24992
Northland Pioneer College,Holbrook,AZ,86025-0610,North Central Association of Colleges and Schools The Higher Learning Commission,34.922221,-110.1316,1614
Ottawa University-Phoenix,Phoenix,AZ,85021,North Central Association of Colleges and Schools The Higher Learning Commission,33.57172,-112.113301,313
Phoenix College,Phoenix,AZ,85013,North Central Association of Colleges and Schools The Higher Learning Commission,33.481361,-112.088293,9745
Cortiva Institute-Scottsdale,Scottsdale,AZ,85257,Accrediting Council for Continuing Education & Training,33.466554,-111.908433,111
Pima Community College,Tucson,AZ,85709-1275,North Central Association of Colleges and Schools The Higher Learning Commission,32.221737,-110.887033,19859
Pima Medical Institute-Tucson,Tucson,AZ,85716,Accrediting Bureau of Health Education Schools,32.250448,-110.921306,2023
Pima Medical Institute-Albuquerque,Albuquerque,NM,87110,Accrediting Bureau of Health Education Schools,35.10488,-106.594381,913
Prescott College,Prescott,AZ,86301,North Central Association of Colleges and Schools The Higher Learning Commission,34.5445,-112.476509,397
Refrigeration School Inc,Phoenix,AZ,85034-1816,Accrediting Commission of Career Schools and Colleges,33.448692,-111.989357,688
Rio Salado College,Tempe,AZ,85281,North Central Association of Colleges and Schools The Higher Learning Commission,33.413138,-111.975201,7515
Roberto-Venn School of Luthiery,Phoenix,AZ,85007,Accrediting Commission of Career Schools and Colleges,33.45489,-112.086161,32
Hair Academy of Safford,Safford,AZ,85546,National Accrediting Commission of Career Arts and Sciences,32.835302,-109.727696,37
Scottsdale Community College,Scottsdale,AZ,85256,North Central Association of Colleges and Schools The Higher Learning Commission,33.509489,-111.887298,6998
South Mountain Community College,Phoenix,AZ,85042,North Central Association of Colleges and Schools The Higher Learning Commission,33.381001,-112.057515,3416
Arizona Christian University,Phoenix,AZ,85032-7097,North Central Association of Colleges and Schools The Higher Learning Commission,33.595117,-112.026211,644
Tucson College,Tucson,AZ,85711,NULL,32.22205,-110.883181,279
Universal Technical Institute of Arizona Inc,Avondale,AZ,85323,Accrediting Commission of Career Schools and Colleges,33.453533,-112.289693,2100
Western International University,Tempe,AZ,85282,North Central Association of Colleges and Schools The Higher Learning Commission,33.403625,-111.964182,914
Empire Beauty School-NW Phoenix,Phoenix,AZ,85051,National Accrediting Commission of Career Arts and Sciences,33.538093,-112.118168,155
Yavapai College,Prescott,AZ,86301,North Central Association of Colleges and Schools The Higher Learning Commission,34.547512,-112.454156,5112
University of Arkansas at Little Rock,Little Rock,AR,72204,North Central Association of Colleges and Schools The Higher Learning Commission,34.726644,-92.341835,7888
University of Arkansas for Medical Sciences,Little Rock,AR,72205-7199,North Central Association of Colleges and Schools The Higher Learning Commission,34.749718,-92.320945,761
ABC Beauty College Inc,Arkadelphia,AR,71923,NULL,34.12018,-93.080831,21
Arkansas Baptist College,Little Rock,AR,72202-6068,North Central Association of Colleges and Schools The Higher Learning Commission,34.734751,-92.290555,989
Arkansas Beauty School-Little Rock,Little Rock,AR,72209,National Accrediting Commission of Career Arts and Sciences,34.669071,-92.334814,74
Arkansas Beauty College,Russellville,AR,72801,Accrediting Commission of Career Schools and Colleges,35.278622,-93.13522,23
Lyon College,Batesville,AR,72501,North Central Association of Colleges and Schools The Higher Learning Commission,35.778934,-91.628115,675
Arkansas College of Barbering and Hair Design,North Little Rock,AR,72114,Accrediting Commission of Career Schools and Colleges,34.753621,-92.266336,176
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,72901-3342,NULL,35.379955,-94.410967,29
University of Arkansas,Fayetteville,AR,72701,North Central Association of Colleges and Schools The Higher Learning Commission,36.06153,-94.178214,21815
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,North Central Association of Colleges and Schools The Higher Learning Commission,34.242192,-92.021263,2526
Arkansas State University-Beebe,Beebe,AR,72012-1000,North Central Association of Colleges and Schools The Higher Learning Commission,35.074512,-91.896165,2889
Arkansas State University-Main Campus,Jonesboro,AR,72401,North Central Association of Colleges and Schools The Higher Learning Commission,35.842779,-90.680478,8909
Arkansas Tech University,Russellville,AR,72801-2222,North Central Association of Colleges and Schools The Higher Learning Commission,35.295227,-93.13233,8799
University of Arkansas at Monticello,Monticello,AR,71656,North Central Association of Colleges and Schools The Higher Learning Commission,33.589788,-91.812971,2549
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,72076,National Accrediting Commission of Career Arts and Sciences,34.8918,-92.102284,54
Baptist Health College-Little Rock,Little Rock,AR,72210-2820,Accrediting Bureau of Health Education Schools,34.713115,-92.40692,663
Black River Technical College,Pocahontas,AR,72455,North Central Association of Colleges and Schools The Higher Learning Commission,36.239793,-90.951033,1289
University of Central Arkansas,Conway,AR,72035-0001,North Central Association of Colleges and Schools The Higher Learning Commission,35.078196,-92.45931,9340
Central Baptist College,Conway,AR,72034,North Central Association of Colleges and Schools The Higher Learning Commission,35.084574,-92.444102,777
Cossatot Community College of the University of Arkansas,De Queen,AR,71832,North Central Association of Colleges and Schools The Higher Learning Commission,34.043389,-94.3673,1006
Crowley's Ridge College,Paragould,AR,72450,North Central Association of Colleges and Schools The Higher Learning Commission,36.066239,-90.58482,181
Crowley's Ridge Technical Institute,Forrest City,AR,72335-0925,Council on Occupational Education,35.041908,-90.767807,205
East Arkansas Community College,Forrest City,AR,72335-2204,North Central Association of Colleges and Schools The Higher Learning Commission,35.039673,-90.767445,721
Eastern College of Health Vocations-Little Rock,Little Rock,AR,72205,Accrediting Bureau of Health Education Schools,34.75126,-92.341981,149
Imagine-Paul Mitchell Partner School,North Little Rock,AR,72117,National Accrediting Commission of Career Arts and Sciences,34.791306,-92.221304,315
National Park College,Hot Springs,AR,71913,North Central Association of Colleges and Schools The Higher Learning Commission,34.512731,-93.117111,2061
University of Arkansas Community College-Batesville,Batesville,AR,72503-3350,North Central Association of Colleges and Schools The Higher Learning Commission,35.79293,-91.616123,1054
Harding University,Searcy,AR,72149-5615,North Central Association of Colleges and Schools The Higher Learning Commission,35.249605,-91.729008,4450
Henderson State University,Arkadelphia,AR,71999-0001,North Central Association of Colleges and Schools The Higher Learning Commission,34.127792,-93.060313,3096
Hendrix College,Conway,AR,72032-3080,North Central Association of Colleges and Schools The Higher Learning Commission,35.09972,-92.442021,1303
Hot Springs Beauty College,Hot Springs,AR,71901,National Accrediting Commission of Career Arts and Sciences,34.496287,-93.038381,38
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,71603,Accrediting Bureau of Health Education Schools,34.187831,-92.018045,67
John Brown University,Siloam Springs,AR,72761,North Central Association of Colleges and Schools The Higher Learning Commission,36.191077,-94.559088,1684
Lees School of Cosmetology,North  Little Rock,AR,72114-3800,NULL,34.781993,-92.296729,22
Career Academy of Hair Design,Springdale,AR,72764-7128,National Accrediting Commission of Career Arts and Sciences,36.16757,-94.131834,248
Academy of Salon and Spa,Fort Smith,AR,72901,National Accrediting Commission of Career Arts and Sciences,35.380891,-94.416327,71
Arkansas State University Mid-South,West Memphis,AR,72301-3829,North Central Association of Colleges and Schools The Higher Learning Commission,35.145736,-90.22285,978
Arkansas Northeastern College,Blytheville,AR,72316-1109,North Central Association of Colleges and Schools The Higher Learning Commission,35.897362,-89.922491,1014
Margaret's Hair Academy Inc,Monticello,AR,71655,NULL,33.629169,-91.7887,38
New Tyler Barber College Inc,North Little Rock,AR,72114-4973,Accrediting Commission of Career Schools and Colleges,34.759076,-92.254108,59
North Arkansas College,Harrison,AR,72601-5508,North Central Association of Colleges and Schools The Higher Learning Commission,36.220528,-93.087317,1502
Northwest Technical Institute,Springdale,AR,72764,Council on Occupational Education,36.178617,-94.116433,186
Ouachita Baptist University,Arkadelphia,AR,71998-0001,North Central Association of Colleges and Schools The Higher Learning Commission,34.125045,-93.052442,1471
College of the Ouachitas,Malvern,AR,72104-0816,North Central Association of Colleges and Schools The Higher Learning Commission,34.378745,-92.821416,764
Ozarka College,Melbourne,AR,72556-0010,North Central Association of Colleges and Schools The Higher Learning Commission,36.053031,-91.896355,842
University of the Ozarks,Clarksville,AR,72830,North Central Association of Colleges and Schools The Higher Learning Commission,35.477785,-93.467924,640
University of Arkansas Community College-Morrilton,Morrilton,AR,72110,North Central Association of Colleges and Schools The Higher Learning Commission,35.172136,-92.728507,1970
Philander Smith College,Little Rock,AR,72202-3799,North Central Association of Colleges and Schools The Higher Learning Commission,34.73666,-92.28242,584
Phillips Community College of the University of Arkansas,Helena,AR,72342-0785,North Central Association of Colleges and Schools The Higher Learning Commission,34.544976,-90.617745,708
Southeast Arkansas College,Pine Bluff,AR,71603,North Central Association of Colleges and Schools The Higher Learning Commission,34.209797,-92.024731,1357
Professional Cosmetology Education Center,El Dorado,AR,71730-4009,National Accrediting Commission of Career Arts and Sciences,33.215124,-92.663131,41
Pulaski Technical College,North Little Rock,AR,72118-3347,North Central Association of Colleges and Schools The Higher Learning Commission,34.78243,-92.299729,6844
University of Arkansas Community College-Hope,Hope,AR,71801,North Central Association of Colleges and Schools The Higher Learning Commission,33.64791,-93.584528,1043
Rich Mountain Community College,Mena,AR,71953,North Central Association of Colleges and Schools The Higher Learning Commission,34.590793,-94.2197,501
Paul Mitchell the School-Arkansas,Fayetteville,AR,72703,National Accrediting Commission of Career Arts and Sciences,36.12681,-94.154191,108
Searcy Beauty College,Searcy,AR,72143,National Accrediting Commission of Career Arts and Sciences,35.237723,-91.73454,52
Shorter College,N Little Rock,AR,72114,Transnational Association of Christian Colleges and Schools,34.75933,-92.261331,236
Williams Baptist College,Walnut Ridge,AR,72476,North Central Association of Colleges and Schools The Higher Learning Commission,36.126825,-90.939876,490
South Arkansas Community College,El Dorado,AR,71731-7010,North Central Association of Colleges and Schools The Higher Learning Commission,33.209446,-92.666087,1182
Southern Arkansas University Main Campus,Magnolia,AR,71753,North Central Association of Colleges and Schools The Higher Learning Commission,33.291195,-93.235087,2859
Southern Arkansas University Tech,Camden,AR,71701-1906,North Central Association of Colleges and Schools The Higher Learning Commission,33.63037,-92.719498,697
Velvatex College of Beauty Culture,Little Rock,AR,72202-5452,National Accrediting Commission of Career Arts and Sciences,34.735724,-92.289758,23
University of Arkansas-Fort Smith,Fort Smith,AR,72913-3649,North Central Association of Colleges and Schools The Higher Learning Commission,35.385345,-94.374073,5754
Academy of Art University,San Francisco,CA,94105,Western Association of Schools and Colleges Senior Colleges and University Commission,37.787748,-122.400686,8969
ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,95670-6034,NULL,38.59172,-121.281506,415
Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,Accrediting Commission for Acupuncture and Oriental Medicine,37.806662,-122.272733,NULL
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,92647,Accrediting Council for Continuing Education & Training,33.728895,-117.987666,34
Avalon School of Cosmetology-Alameda,Alameda,CA,94501,National Accrediting Commission of Career Arts and Sciences,37.764203,-122.243566,135
College of Alameda,Alameda,CA,94501,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,37.78239,-122.279261,5486
Allan Hancock College,Santa Maria,CA,93454-6399,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,34.942979,-120.421486,9437
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,90028,Middle States Commission on Higher Education,34.095315,-118.344097,295
American Baptist Seminary of the West,Berkeley,CA,94704-3029,Commission on Accrediting of the Association of Theological Schools,37.865252,-122.256149,NULL
American Film Institute Conservatory,Los Angeles,CA,90027-1625,Western Association of Schools and Colleges Senior Colleges and University Commission,34.10846,-118.309989,NULL
American Beauty College,West Covina,CA,91790,National Accrediting Commission of Career Arts and Sciences,33.884391,-118.125036,79
American Career College-Los Angeles,Los Angeles,CA,90004,Accrediting Bureau of Health Education Schools,34.079236,-118.292282,1543
American Conservatory Theater,San Francisco,CA,94108-5834,Western Association of Schools and Colleges Senior Colleges and University Commission,37.787326,-122.404945,1
American River College,Sacramento,CA,95841-4286,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,38.649734,-121.346012,26760
Antelope Valley College,Lancaster,CA,93536-5426,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,34.676207,-118.186166,12286
Art Center College of Design,Pasadena,CA,91103,Western Association of Schools and Colleges Senior Colleges and University Commission,34.170844,-118.186901,1890
Associated Technical College-Los Angeles,Los Angeles,CA,90017-1604,Accrediting Commission of Career Schools and Colleges,34.055987,-118.27243,377
Associated Technical College-San Diego,San Diego,CA,92101,Accrediting Commission of Career Schools and Colleges,32.715658,-117.158203,76
Azusa Pacific University,Azusa,CA,91702-7000,Western Association of Schools and Colleges Senior Colleges and University Commission,34.130865,-117.88795,5883
Bakersfield College,Bakersfield,CA,93305-1299,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,35.4108,-118.973491,17918
Barstow Community College,Barstow,CA,92311,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,34.871451,-117.02523,2782
Bellus Academy-National City,National City,CA,91950,National Accrediting Commission of Career Arts and Sciences,32.676762,-117.090235,164
Bethesda University,Anaheim,CA,92801,Transnational Association of Christian Colleges and Schools,33.842295,-117.941323,279
Biola University,La Mirada,CA,90639-0001,Western Association of Schools and Colleges Senior Colleges and University Commission,33.904823,-118.017342,4219
Brooks Institute,Ventura,CA,93001,NULL,34.33851,-119.295231,334
Brownson Technical School,Anaheim,CA,92805,Accrediting Commission of Career Schools and Colleges,33.819,-117.906409,46
Bryan University,Los Angeles,CA,90010,NULL,34.061406,-118.302882,1417
Butte College,Oroville,CA,95965-8399,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,39.649116,-121.644691,10646
Phillips Graduate University,Chatsworth,CA,91311,Western Association of Schools and Colleges Senior Colleges and University Commission,34.24203,-118.567631,NULL
California Institute of Integral Studies,San Francisco,CA,94103,Western Association of Schools and Colleges Senior Colleges and University Commission,37.774768,-122.416537,78
Cabrillo College,Aptos,CA,95003,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,36.9891,-121.927926,11696
California Baptist University,Riverside,CA,92504-3297,Western Association of Schools and Colleges Senior Colleges and University Commission,33.928569,-117.42587,6604
California College of the Arts,San Francisco,CA,94107-2247,Western Association of Schools and Colleges Senior Colleges and University Commission,37.76723,-122.399941,1491
University of California-Hastings College of Law,San Francisco,CA,94102-4978,Western Association of Schools and Colleges Senior Colleges and University Commission,37.780718,-122.415395,NULL
California Institute of Technology,Pasadena,CA,91125,Western Association of Schools and Colleges Senior Colleges and University Commission,34.139275,-118.12574,1001
California Lutheran University,Thousand Oaks,CA,91360-2787,Western Association of Schools and Colleges Senior Colleges and University Commission,34.225551,-118.879467,2802
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,Western Association of Schools and Colleges Senior Colleges and University Commission,35.29889,-120.65856,19972
Alliant International University-San Diego,San Diego,CA,92131,Western Association of Schools and Colleges Senior Colleges and University Commission,32.897056,-117.094398,342
California State University-Bakersfield,Bakersfield,CA,93311-1099,Western Association of Schools and Colleges Senior Colleges and University Commission,35.350005,-119.104711,8068
California State University-Stanislaus,Turlock,CA,95382-0299,Western Association of Schools and Colleges Senior Colleges and University Commission,37.52577,-120.852511,8093
California State University-San Bernardino,San Bernardino,CA,92407-2397,Western Association of Schools and Colleges Senior Colleges and University Commission,34.182987,-117.322508,17518
